worry_pers_crime,eff_justice,worry_prop_crime,conf_police
0.679093063,1.664441228,0.826482236,1.189613342
1.08134985,-0.924284458,-0.315127015,-0.684908867
0.459128946,-1.20091188,-0.097374186,-2.006684542
2.547673225,-1.707322836,-0.073785558,-0.432088137
0.334676355,-0.185259134,-1.535422921,-0.804819167
-1.049402237,1.158890963,-0.445086241,2.059285164
-1.860111833,1.149984837,1.12443459,0.049985919
0.343030781,-0.433564633,0.588312626,-1.389067531
1.200399995,-1.701884627,-0.798463523,-2.428667545
1.252126813,0.595040381,-0.210849658,-0.183682248
0.606691957,0.640958786,0.20419237,1.36306119
0.265748799,0.069194242,1.358366847,-0.425352037
0.244202957,1.664441228,1.021508336,0.987879753
0.334676355,0.595040381,-1.535422921,0.493389249
0.941001773,-0.944561005,-0.090157636,0.485454649
0.263414681,0.337026983,-0.560513198,0.097856774999999993
-0.884407043,-0.705614507,2.050774813,1.191631079
-0.376952976,0.347050518,0.259397984,1.441235542
-0.60084486,0.084136158,0.527872026,-1.071308136
3.074382782,-0.704044163,0.222653911,-0.577196956
1.281514525,-0.953467071,0.015739093,-0.161313415
-0.900425076,-0.194165215,-1.544810176,0.853899956
-0.181491151,-0.745641828,0.064041182,0.650967896
-0.81391865,-0.916139126,-0.097593457,-0.161313415
0.270305008,0.360771388,-0.262122244,0.038834997
-1.365231514,-1.747803092,0.554974496,-1.324128866
0.397561342,0.080576129,-0.977082253,0.270872027
-0.411247611,-0.746502519,1.866078615,0.274520934
0.596310377,-0.985801935,0.54642731,-0.684908867
-0.900425076,0.915708005,-1.544810176,0.938810349
-0.219873846,1.10950458,0.624913752,-0.31766203
-1.117426634,0.874374866,-0.977945209,-0.656190515
-0.609199286,0.870197356,-1.595863461,0.757860541
-0.900425076,-0.975333333,-1.544810176,1.220349431
0.263414681,-1.178830028,-0.560513198,0.299590319
1.405281186,-0.204733863,0.150051966,0.687188208
-0.446728289,0.296554595,-0.59733361,0.097856774999999993
-0.564752698,-1.486229658,1.717957258,-1.689759016
1.822213411,0.62769872,-2.102381706,-0.263487726
0.34668231,-0.993947268,2.185825348,0.979945123
2.591094255,2.405029058,1.408080816,0.938810349
-0.439837962,0.595040381,-0.298942655,-0.103876784
1.12913835,-1.462485313,0.176446214,0.35741356
-0.768999338,0.639080584,1.049649715,-0.460373819
0.56301868,-1.982072115,-1.936169863,-0.440022737
-0.302728742,-1.22821629,0.775209665,-2.000001907
0.678840637,0.058717757,0.167986453,0.687188208
-0.231467068,0.851491213,-0.199700072,0.493389249
-0.179415584,-0.140109286,0.616058767,-0.382199496
-0.110665999,0.341612309,-0.35916397,0.0420513
-0.593954504,0.089490063,0.826262951,-0.073140696
0.263414681,0.360771388,-0.560513198,0.038834997
-0.148612171,-0.136641413,-0.349995971,-1.300940752
-0.148612171,-0.424974173,-0.349995971,-2.049071312
0.349921107,0.350963503,0.886703551,-1.241919041
-0.103775673,0.851491213,-0.060773041,0.938810349
-0.095673695,0.333466947,1.404466748,0.687188208
-1.599689364,0.108196214,2.039436102,-0.202834785
-1.292055607,0.333466947,2.559370041,-0.604716778
1.427254438,2.959965706,0.423783839,2.059285164
0.263414681,1.62396884,-0.560513198,0.54447639
-0.923126459,0.644426703,0.886484325,0.291655719
0.952594995,0.865519881,0.734456182,0.013332986
0.872978926,-1.196326494,-0.414369583,-0.63180393
